Year,Overall,Overall 95% Confidence Interval,Men,Men 95% Confidence Interval,Women,Women 95% Confidence Interval
2011,6.1,5.9 - 6.2,5.3,5.1 - 5.5,6.8,6.6 - 7.0
2012,6,5.8 - 6.1,5.3,5.1 - 5.5,6.5,6.4 - 6.7
2013,6.1,5.9 - 6.2,5.5,5.3 - 5.7,6.7,6.5 - 6.8
2014,6.2,6.0 - 6.3,5.5,5.3 - 5.7,6.8,6.6 - 7.0
2015,5.8,5.7 - 6.0,5.2,5.1 - 5.4,6.4,6.2 - 6.6
2016,6,5.9 - 6.2,5.4,5.2 - 5.6,6.6,6.4 - 6.8
2017,6,5.9 - 6.2,5.3,5.2 - 5.5,6.7,6.5 - 6.9
2018,6.3,6.1 - 6.4,5.6,5.4 - 5.8,7,6.8 - 7.2
2019,6,5.9 - 6.1,5.4,5.2 - 5.6,6.6,6.4 - 6.8
2020,5.8,5.7 - 6.0,5.3,5.0 - 5.5,6.3,6.1 - 6.6
2021,5.9,5.7 - 6.0,5.3,5.1 - 5.5,6.4,6.2 - 6.6
2022,6.1,6.0 - 6.3,5.5,5.3 - 5.7,6.7,6.5 - 6.9